ID	Class	Fields	Methods	Parent ID
0	Person	"age:18-65,gender:male/female"	"sleep,eat,walk,talk"	
1	Student	yearLevel:1-6	"study,cram,viewLecture"	0
2	UniStaff	campus:city/grafton/manukau	"lockUp,manage"	0
3	Workforce	"paymentType:salary/wage,workAmount:partTime/fullTime,unionMember:true/false"	"goToWork,clockIn,clockOut"	0
4	Engineer	"specialisation:software/civil/mechanical/electrical/compsys/mechatronics, practicalHours:0-800"	"doMaths,getIdea,buildDesign"	1
5	MedStudent	"specialised:true/false,placement:northShore/middlemore/tauranga/hamilton"	"diagnose,doCPR,wrapWound"	1
6	FineArtStudent	"style:painting/sculpting/sketching/pastels,sponsored:true/false"	"buySupplies,mixColours,colourIn"	1
7	Lecturer	"classes:2-14,teachingHours:3-24"	"giveLecture,markWork,sendGrades"	2
8	LabTech	headLabTech:true/false	"setupLab,teachSafety,mixSolution"	2
9	Cleaner	"area:bathrooms/classrooms/grounds,shift:morning/night"	"getTools,clean,dispose"	2
10	BusDriver	"route:70/72c/72m/500/81/83/801,shift:morning/afternoon/night"	"stopBus,dropOff,pickUp,openDoors"	3
11	foodWorker	foodPlace:Subway/McDonalds/BurgerKing/PizzaHut/Dominoes	"cookFood,takeOrder,manDriveThru"	3
